Date,Open,High,Low,Close,Volume,OpenInterest,sma
2019-01-10,1643.07,1663.25,1621.615,1655.5,6024209,0.0,1592.7621560000011
2019-01-11,1640.55,1660.2939999999999,1636.22,1639.66,4171157,0.0,1594.7832000000012
2019-01-14,1615.0,1648.2,1595.15,1619.8767,5255053,0.0,1596.572334000001
2019-01-15,1632.0,1672.97,1626.01,1672.75,5504935,0.0,1598.043534000001
2019-01-16,1684.22,1705.0,1675.8787,1681.9703,5690955,0.0,1598.365740000001
2019-01-17,1681.46,1700.17,1677.5,1691.37,3801991,0.0,1598.881540000001
2019-01-18,1712.0,1716.2,1691.54,1693.2421,5590622,0.0,1600.1973820000012
2019-01-22,1681.0,1681.8668,1610.2,1628.398,5768384,0.0,1599.9081420000011
2019-01-23,1655.99,1657.43,1612.0,1636.55,4758701,0.0,1597.4919420000012
2019-01-24,1641.07,1657.2572,1631.7847,1654.97,3419975,0.0,1595.4923420000011
2019-01-25,1670.0,1683.48,1661.6122,1668.6,4248850,0.0,1594.6237420000014
2019-01-28,1644.62,1645.0,1614.09,1636.185,4294355,0.0,1594.6116420000014
2019-01-29,1631.27,1632.38,1590.72,1592.73,4087240,0.0,1593.8373420000012
2019-01-30,1622.09,1676.95,1619.68,1670.2312,4779035,0.0,1595.239966000001
2019-01-31,1691.87,1736.411,1679.0822,1720.41,7804004,0.0,1597.248166000001
2019-02-01,1637.8,1673.06,1622.01,1623.8,10364406,0.0,1597.8523660000012
2019-02-04,1623.0,1649.63,1613.5,1630.5,4434619,0.0,1600.2083660000012
2019-02-05,1643.34,1665.26,1642.5,1656.87,3853990,0.0,1603.436566000001
2019-02-06,1670.75,1672.26,1633.34,1639.42,3639233,0.0,1605.8969660000012
2019-02-07,1625.02,1625.539,1592.91,1611.6058,4065241,0.0,1608.0874820000013
2019-02-08,1586.0,1588.59,1566.756,1585.7397,5163140,0.0,1608.1756760000012
2019-02-11,1600.78,1609.29,1586.0,1591.8,2993984,0.0,1608.3716760000013
2019-02-12,1603.99,1638.97,1598.88,1637.89,4397459,0.0,1607.5802760000013
2019-02-13,1647.0,1656.38,1637.1063,1640.3726,3144253,0.0,1606.9289280000012
2019-02-14,1624.5,1637.9,1606.0610000000001,1623.8774,3678810,0.0,1605.5754760000011
2019-02-15,1627.86,1628.9099,1604.5,1607.5299,3972633,0.0,1602.268074000001
2019-02-19,1601.0,1634.0,1600.56,1627.4731,3363526,0.0,1601.444736000001
2019-02-20,1630.0,1634.93,1610.12,1622.62,3100443,0.0,1599.897136000001
2019-02-21,1619.85,1623.56,1600.91,1619.9,3294305,0.0,1599.7129360000008
2019-02-22,1623.5,1634.94,1621.17,1631.19,2590256,0.0,1599.512736000001
2019-02-25,1641.45,1654.6,1630.3873,1633.0,2858663,0.0,1599.3047360000012
2019-02-26,1625.98,1639.99,1616.1335,1636.33,2387059,0.0,1598.7687360000011
2019-02-27,1628.18,1641.81,1615.1,1641.09,2773023,0.0,1598.3957360000009
2019-02-28,1635.25,1651.77,1633.83,1639.79,2439847,0.0,1599.3531360000009
2019-03-01,1653.74,1674.26,1651.0,1671.26,4274122,0.0,1602.3833360000008
2019-03-04,1685.0,1709.43,1674.36,1696.16,5635905,0.0,1605.2843360000008
2019-03-05,1702.95,1707.8,1689.01,1691.81,3441803,0.0,1609.2239360000008
2019-03-06,1695.97,1697.75,1668.28,1669.16,3715728,0.0,1613.3905360000008
2019-03-07,1667.06,1669.7534,1620.51,1626.28,4213562,0.0,1618.3815360000008
2019-03-08,1604.01,1622.72,1586.57,1622.11,4139096,0.0,1623.9655360000006
2019-03-11,1626.95,1672.285,1626.01,1670.32,3476811,0.0,1627.9557360000008
2019-03-12,1669.0,1684.265,1660.98,1672.42,3094709,0.0,1632.1641360000008
2019-03-13,1683.0,1700.0,1679.35,1690.8,3263391,0.0,1636.476536000001
2019-03-14,1691.2,1702.0,1684.34,1685.29,2583867,0.0,1640.334736000001
2019-03-15,1701.56,1718.8,1693.13,1712.91,4006960,0.0,1643.858336000001
